,Drug Name,Cell Line Name,TCGA Classification,Tissue,IC50,AUC,Z score
191,Nutlin-3a (-),SK-OV-3,OV,urogenital_system,7.126915274787548,0.9784634243611363,1.51689328886812
192,Nutlin-3a (-),MDA-MB-231,BRCA,breast,5.666631102617729,0.9873381794294408,0.6997249585219145
193,Nutlin-3a (-),COLO-205,COREAD,digestive_system,6.6854571101413685,0.9906694664560592,1.2698553231099958
194,Nutlin-3a (-),SW620,COREAD,digestive_system,6.9379620177626,0.9861623685218756,1.4111559121990824
195,Nutlin-3a (-),CAKI-1,KIRC,kidney,2.9504355219010128,0.8582048670194906,-0.8202456402759623
196,Nutlin-3a (-),RPMI-8226,MM,blood,4.6304572413528655,0.9910151878194388,0.11988681448447971
197,Nutlin-3a (-),SR,UNCLASSIFIED,blood,-0.47189571367183536,0.6086485771656897,-2.7353665153514397
198,Nutlin-3a (-),NCI-H322M,LUAD,lung,5.598475552562718,0.9715377838685061,0.6615854250641733
199,Nutlin-3a (-),IGROV-1,OV,urogenital_system,2.7257064159559925,0.8709488766458852,-0.9460030180419744
200,Nutlin-3a (-),OVCAR-5,OV,urogenital_system,7.09508341598459,0.973389114567632,1.499080326565599
201,Nutlin-3a (-),EKVX,LUAD,lung,6.262940911836096,0.9629347674840003,1.0334171949062787
202,Nutlin-3a (-),HCC2998,COREAD,digestive_system,5.632074887977368,0.992209818196708,0.680387459178352
203,Nutlin-3a (-),HOP-62,LUAD,lung,6.841633229160869,0.9841983367096232,1.3572507635669604
204,Nutlin-3a (-),HOP-92,UNCLASSIFIED,lung,5.82015604142179,0.976846364520582,0.7856368106805289
205,Nutlin-3a (-),LOXIMVI,SKCM,skin,1.7750204165434835,0.8374024107902608,-1.4780025463728823
206,Nutlin-3a (-),M14,SKCM,skin,4.531630265989194,0.9665540316066541,0.06458369198942551
207,Nutlin-3a (-),UACC-62,SKCM,skin,3.463335448731172,0.9301279007641076,-0.533229191813251
